Date,AAPL-corpbond,HD-corpbond,IBM-corpbond,NKE-corpbond,AAPL-stock,HD-stock,IBM-stock,NKE-stock
1/22/2014, 94.00 , 94.09 , 99.53 , 91.61 ,124.914142,110.0861526,90.46394975,116.1204606
1/23/2014, 94.45 , 94.74 , 99.63 , 91.82 ,125.9718924,110.1410666,90.70222591,114.903986
1/24/2014, 95.09 , 94.69 , 99.75 , 92.73 ,123.6820532,108.6586068,89.16841252,113.1977138
1/27/2014, 94.58 , 94.82 , 99.73 , 92.76 ,124.6854112,108.3566256,88.3047374,113.5926259
1/28/2014, 95.19 , 94.69 , 99.65 , 92.98 ,114.7196329,107.8076026,87.7835344,114.8723458
1/29/2014, 94.91 , 95.54 , 99.70 , 93.07 ,113.4172784,105.2544558,87.56015158,113.3872992
1/30/2014, 94.94 , 94.79 , 99.92 , 93.18 ,113.1975862,105.5976161,88.03669433,116.815627
1/31/2014, 95.17 , 94.97 , 99.88 , 93.29 ,113.3833245,105.4878245,87.6991637,115.0935609
2/3/2014, 95.37 , 96.17 , 99.93 , 94.59 ,113.593934,103.071939,85.82285969,111.9812077
2/4/2014, 95.24 , 95.73 , 99.97 , 94.35 ,115.2382809,102.9072681,85.79307239,111.3966261
2/5/2014, 94.93 , 95.17 , 99.78 , 93.64 ,116.0989903,103.3053203,86.48800674,111.5388511
2/6/2014, 94.77 , 94.75 , 99.76 , 93.64 ,116.7756727,104.5407003,87.17676406,112.9765267
2/7/2014, 95.00 , 95.12 , 100.09 , 93.96 ,118.409404,104.9387525,88.46440229,114.8407687
2/10/2014, 95.57 , 95.14 , 99.81 , 93.62 ,120.5306444,104.8838733,88.40950715,114.8092091
2/11/2014, 94.98 , 95.12 , 99.98 , 93.11 ,122.1187658,105.2819365,89.68722287,116.8787917
2/12/2014, 94.86 , 94.81 , 99.81 , 93.20 ,122.1096831,106.0780757,89.956745,117.0841324
2/13/2014, 95.10 , 95.18 , 99.84 , 93.36 ,124.0486502,106.5035469,90.75524289,118.2848657
2/14/2014, 95.20 , 95.07 , 99.92 , 93.46 ,123.9484325,106.9702843,91.67857934,118.6008192
2/18/2014, 95.48 , 95.58 , 100.08 , 93.55 ,124.40413,106.4761136,91.42904823,118.8220483
2/19/2014, 95.18 , 95.37 , 100.01 , 94.79 ,122.4400621,104.9387525,91.30927804,118.2058791
2/20/2014, 95.23 , 95.15 , 99.92 , 93.45 ,121.0228424,106.3526109,91.96307322,119.4065879
2/21/2014, 94.91 , 95.20 , 99.97 , 93.46 ,119.6785038,106.7094697,91.22940192,120.8284942
2/24/2014, 95.12 , 95.13 , 100.05 , 94.07 ,120.2025295,106.8879117,91.55881871,122.977102
2/25/2014, 95.99 , 96.10 , 100.25 , 94.20 ,118.9516852,111.156838,91.4489806,123.4036578
2/26/2014, 96.05 , 95.86 , 100.28 , 93.84 ,117.8785067,112.1451651,91.86324497,123.8934169
2/27/2014, 95.92 , 95.93 , 100.23 , 94.99 ,120.2298943,112.5157824,92.46716492,124.0205633
2/28/2014, 95.94 , 96.18 , 100.27 , 94.88 ,119.9040699,112.5981186,92.41723166,124.465693
3/3/2014, 96.14 , 96.51 , 100.28 , 95.18 ,120.2503875,112.5569394,91.96307322,123.0191511
3/4/2014, 95.67 , 96.33 , 100.17 , 94.64 ,121.0433374,113.7511276,93.0511034,124.9743627
3/5/2014, 95.46 , 95.81 , 100.04 , 93.81 ,121.2985041,113.8060432,93.40049209,123.0667885
3/6/2014, 95.20 , 95.44 , 100.01 , 93.44 ,120.9316651,113.1197336,93.65000408,124.3384941
3/7/2014, 94.86 , 95.06 , 99.92 , 93.51 ,120.8610358,113.3119216,93.66997534,126.3096221
3/10/2014, 95.06 , 95.17 , 100.07 , 93.07 ,120.9704033,112.8040414,93.02614156,125.5466107
3/11/2014, 95.68 , 95.40 , 100.04 , 94.36 ,122.1483806,112.2241601,93.21079699,125.2604394
3/12/2014, 95.42 , 95.32 , 100.06 , 94.00 ,122.2668698,111.216383,92.94129462,125.5307222
3/13/2014, 95.70 , 95.86 , 100.03 , 94.10 ,120.9088814,108.7866441,91.78338861,124.8312892
3/14/2014, 95.89 , 95.63 , 100.10 , 94.85 ,119.5509072,109.5873288,90.93991809,124.49747
3/17/2014, 95.53 , 95.89 , 100.10 , 94.15 ,120.0180186,109.8634683,92.73666729,125.5466107
3/18/2014, 95.79 , 95.66 , 99.98 , 94.16 ,121.0797708,110.1947999,93.23573971,126.5956848
3/19/2014, 95.57 , 95.34 , 100.06 , 93.87 ,121.0479043,110.0981504,92.18767181,125.816827
